"id","text","label","llm_label","notes"
"1","A larger World Cup had some worrying the competition would suffer. It hasn't","opinion","opinion","reasoned claim without specific evidence"
"2","10 men and a statue: Portugal are sacrificing another World Cup for Cristiano Ronaldo’s ego","fan_commentary","fan_commentary","reactionary criticism"
"3","Australian World Cup fans were caught chanting: “Aussie boys are on a bender, Donald Trump is a sex offender.”","analysis","analysis","specific reported event"
"4","World Cup predictions based on the model that picked the last 3 World Cup Champions","analysis","analysis","model-based prediction with historical support"
"5","Some US players believe they can win the World Cup. Are they deluded?","opinion","opinion","argumentative question without evidence"
"6","Hydration breaks at World Cup add nothing but take away a lot , Says Bielsa","opinion","opinion","quoted opinion without supporting data"
"7","Cape Verde players reactions after securing their first ever World Cup point against Spain","fan_commentary","fan_commentary","reaction-focused post"
"8","The Athletic's ranking of the 48 teams at the World Cup","analysis","analysis","ranking based on evaluative evidence"
"9","Senne Lammens voted as the Premier League Signing of the Season by The Athletic","analysis","analysis","awards-based ranking"
"10","Erling Haaland has scored 2 or more goals on his Bundesliga, Premier League, Champions League and World Cup debuts","analysis","analysis","specific comparative milestone"
"11","Bruno Fernandes wins Premier League Player of the Year","fan_commentary","fan_commentary","award announcement"
"12","Arsenal are the first ever team in Premier League history to go the whole season without receiving a red card or conceding a penalty","analysis","analysis","unprecedented record evidence"
"13","Declan Rice wins the BBC Premier League Player of the Year","fan_commentary","fan_commentary","award celebration"
"14","Premier League to relax red cards for hair pulling","opinion","opinion","policy commentary without evidence"
"15","Erling Haaland is the fastest player to score 100 goals in Premier League history","analysis","analysis","verifiable historical record"
"16","How referee calls shaped the Premier League: What the table could have looked like with correct decisions","analysis","analysis","analytical counterfactual with data"
"17","Max Dowman is the youngest ever player to start a Premier League match at 16 years and 144 days","analysis","analysis","record with specific age data"
"18","Bruno Fernandes breaks the Premier League assist record with 21 assists","fan_commentary","fan_commentary","record celebration"
"19","At the moment I have a feeling they are making their own rules. There has to be a limit.","opinion","opinion","manager criticism without evidence"
"20","The top 4 Saudi League teams would be okay in the Premier League. The top teams would be lower Prem, top Champ.","opinion","opinion","comparative league argument without data"
"21","Arsenal video on becoming Premier league champions","fan_commentary","fan_commentary","celebratory content"
"22","Full time scenes as Leicester City are relegated to League One","fan_commentary","fan_commentary","dramatic outcome reaction"
"23","[The Athletic] How much prize money each Premier League team earned this season","analysis","analysis","financial data breakdown"
"24","Days spent on top of Premier League since 2004","analysis","analysis","historical tracking statistic"
"25","Bruno Fernandes has reached 200 goal involvements - second fastest United player in PL era","analysis","analysis","cumulative achievement"
"26","Mohamed Salah has now provided more PL assists for Liverpool than any other player in history","analysis","analysis","record-breaking statistic"
"27","Chances created by Bruno Fernandes compared to other Premier League players","analysis","analysis","comparative playing statistics"
"28","Arsenal winning the Premier League, all 2024/25 UCL Semi-Finalists have won their domestic league","analysis","analysis","pattern observation with evidence"
"29","Top 28 all time Premier League table","analysis","analysis","historical comparison data"
"30","Manchester United are now in 3rd place in the Premier League for the first time since May 2023","fan_commentary","fan_commentary","league position celebration"
"31","The Bundesliga will overtake the Premier League again in terms of average attendance.","opinion","opinion","prediction without supporting evidence"
"32","I'm furious we sold him - he was our best creative player and now we have no one who can unlock a low block","opinion","opinion","reasoned argument about team composition"
"33","Unbelievable, what a performance from Arsenal!","fan_commentary","fan_commentary","celebratory reaction"
"34","In Italy, the fans sing non-stop. In England it's different but the whole stadium is involved.","opinion","opinion","cultural observation without verifiable data"
"35","Wirtz has become the most expensive player in Premier League history","analysis","analysis","transfer record"
"36","[The Athletic] Re-ranking all 189 Premier League transfers this season — from worst to best","analysis","analysis","comprehensive transfer analysis"
"37","Post-Match Thread: Arsenal 2 - 3 Manchester United | English Premier League","fan_commentary","fan_commentary","match result thread"
"38","Mikel Arteta wins Premier League Manager of the Season","fan_commentary","fan_commentary","manager award celebration"
"39","Van de Ven becomes fastest Premier League player since data collection in 2020/21","analysis","analysis","performance speed metric"
"40","The 2015/16 Premier League champions Leicester City are eight points from safety in the Championship","fan_commentary","fan_commentary","dramatic decline reporting"
"41","Manchester City's top scorers this season in the Premier League","analysis","analysis","goal-scoring breakdown"
"42","Sunday's Manchester City-Arsenal match was NBC Sports' MOST-WATCHED Premier League match in US history","analysis","analysis","viewership data"
"43","Premier League ends partnership with LGBTQ+ charity Stonewall","opinion","opinion","organizational decision report"
"44","Premier League clubs have spent more money on summer transfers than the rest of the TOP5 leagues combined","analysis","analysis","spending comparison statistic"
"45","After his goal against Fulham, Erling Haaland is the fastest player to score 100 goals in PL history","fan_commentary","fan_commentary","milestone celebration"
"46","Arsenal look very strong this season","fan_commentary","fan_commentary","generic positive mention"
"47","The quality of the Premier League is bad this year - A statistical Analysis","opinion","opinion","league-wide critique"
"48","Live celebrations outside the Emirates Stadium as Arsenal are crowned the 2025/26 PL Champions","fan_commentary","fan_commentary","celebration scenes"
"49","I disagree with him going to Germany. Winning the Bundesliga with Bayern Munich is like winning the Scottish Premiership with Celtic.","opinion","opinion","comparative league judgment"
"50","Hull City could face points deduction in Premier League","analysis","analysis","penalty news reporting"
"50","Hull City could face points deduction in Premier League","analysis","analysis","penalty news reporting"
"51","Hull City defeat Middlesbrough and is promoted to the Premier League","fan_commentary","fan_commentary","promotion celebration"
"52","Scenes as FC Arsenal lift Premier League trophy","fan_commentary","fan_commentary","trophy celebration"
"53","Leicester City Are Premier League Champions","fan_commentary","fan_commentary","championship announcement"
"54","Kieran McKenna leaving Ipswich a month after securing Premier League promotion","opinion","opinion","managerial transition reporting"
"55","Thomas Partey will play no part in Ghana's first World Cup game in Toronto as he has been denied entry to Canada.","analysis","analysis","visa denial reporting"
"56","Pep Guardiola: In the Premier League not one foul on the keepers all season","analysis","analysis","tactical observation"
"57","The Premium League Is Evolving Again","opinion","opinion","league commentary without evidence"
"58","West Ham United have been relegated from the Premier League","fan_commentary","fan_commentary","relegation reporting"
"59","Scenes as Hull City defeat Middlesbrough and is promoted to the Premier League","fan_commentary","fan_commentary","promotion celebration"
"60","After the United States 2-0 win over Australia, Mauricio Pochettino is now tied for the most World Cup wins as USMNT manager","analysis","analysis","coaching record statistic"
"61","Arsenal fan Zohran Mamdani talks football: World Cup ticket prices and the Premier League title race","opinion","opinion","political commentary on sports"
"62","Jürgen Klopp wants to return to coaching. Months after joining Red Bull, he already misses daily coaching work.","opinion","opinion","manager preference without evidence"
"63","Kenya's soccer mad President William Ruto, An avid Arsenal fan, Said he had invited the PL champions to visit","fan_commentary","fan_commentary","diplomatic celebration"
"64","Premier League manager of the season nominees announced","analysis","analysis","award nomination"
"65","Hannibal Mejbri (Burnley's player) receiving racist dms after their draw with Chelsea","fan_commentary","fan_commentary","incident reporting"
"66","Steven Gerrard explains why Paul Scholes would be the best midfielder in the Premier League now.","opinion","opinion","player comparison without current data"
"67","Dick Advocaat recalls plan to move Celtic and Rangers to England Premier League","opinion","opinion","historical commentary"
"68","Post-Match Thread: Liverpool 7 - 0 Manchester United | English Premier League","fan_commentary","fan_commentary","historic result celebration"
"69","Sunderland will play in the premier league next season after defeating Sheffield United.","fan_commentary","fan_commentary","promotion announcement"
"70","Post Match Thread: United States 2 - 0 Australia | FIFA World Cup 2026","fan_commentary","fan_commentary","match result celebration"
"71","[BBC] Could a Premier League club lose their European place once again?","opinion","opinion","speculative question without evidence"
"72","Geoff Hurst: It's amazing that such a major football nation, where so many of the world's best players grace the Premier League, has gone 59 years without success at international level","opinion","opinion","comparative international performance"
"73","[The Athletic] The Premier League's net spend fell just short of £1.5 billion this season","analysis","analysis","financial data"
"74","Dowman makes history as YOUNGEST player to win Premier League","fan_commentary","fan_commentary","youth milestone"
"75","Coventry City have effectively secured a return to the Premier League after a twenty five year absence","fan_commentary","fan_commentary","return celebration"
"76","Jamie Vardy became just the 2nd player in Serie A history to score 3 goals in a season for a promoted team at the age of 38+","analysis","analysis","historical comparison across leagues"
"77","Fulham's Harrison Reed wins the Premier League Goal of the Season","fan_commentary","fan_commentary","award celebration"
"78","Premier League Form (Last 10)","analysis","analysis","recent form statistic"
"79","[OC] Predicted final tables of all 12 World Cup groups based on media power rankings","analysis","analysis","predictive data visualization"
"80","Post-Match Thread: Bournemouth 1-1 Manchester City | Premier League","fan_commentary","fan_commentary","match result"
"81","10 years ago today, Leicester City were confirmed as Premier League champions","fan_commentary","fan_commentary","historic anniversary"
"82","Mexico has secured 1st place in Group A of the 2026 World Cup and has qualified for the Round of 32","fan_commentary","fan_commentary","qualification celebration"
"83","In just the first half, the USA have already scored as many goals as they did in the entirety of the 2022 World Cup","analysis","analysis","comparative goal-scoring"
"84","Scenes as Mexico wins Group A in the 2026 World Cup","fan_commentary","fan_commentary","group stage celebration"
"85","Post-Match Thread: Germany 2 - 1 Ivory Coast | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"86","Post Match Thread: Spain 0 - 0 Cape Verde | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"87","Post Match Thread: England 4 - 2 Croatia | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"88","The Dutch have arrived in Texas","fan_commentary","fan_commentary","team arrival update"
"89","Post-Match Thread: Netherlands 2 - 2 Japan | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"90","Post Match Thread: United States 4 - 1 Paraguay | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"91","Post-Match Thread: Germany 7 - 1 Curaçao | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"92","Post Match Thread: Australia 2 - 0 Türkiye | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"93","Post Match Thread: Portugal 0 - 0 DR Congo | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"94","Post-Match Thread: Belgium 1-1 Egypt | FIFA World Cup","fan_commentary","fan_commentary","match result"
"95","Post-Match Thread: France 3-1 Senegal | FIFA World Cup","fan_commentary","fan_commentary","match result"
"96","Post Match Thread: Brazil 3 - 0 Haiti | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"97","Post Match Thread: Argentina 3 - 0 Algeria | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"98","Post Match Thread: Mexico 1 - 0 South Korea | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"99","Post-Match Thread: Austria 3 - 1 Jordan | FIFA World Cup 2026","fan_commentary","fan_commentary","match result"
"100","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"101","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"102","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"103","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"104","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"105","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"106","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"107","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"108","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"109","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"110","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"111","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"112","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"113","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"114","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"115","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"116","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"117","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"118","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"119","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"120","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"121","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"122","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"123","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"124","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"125","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"126","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"127","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"128","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"129","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"130","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"131","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"132","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"133","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"134","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"135","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"136","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"137","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"138","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"139","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"140","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"141","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"142","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"143","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"144","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"145","I think rotating the front line more often would make them less predictable even if it risks short-term inconsistency.","opinion","opinion","argument based on reasoning without verifiable evidence"
"146","This team will benefit from a higher defensive line because it matches their pressing intent and keeps play in the opponent half.","opinion","opinion","argument based on reasoning without verifiable evidence"
"147","They should prioritize a mobile midfielder in the next window because the current setup looks too static in transition and likely limits their ceiling.","opinion","opinion","argument based on reasoning without verifiable evidence"
"148","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"149","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"150","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"151","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"152","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"153","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"154","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"155","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"156","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"157","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"158","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"159","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"160","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"161","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"162","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"163","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"164","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"165","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"166","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"167","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"168","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"169","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"170","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"171","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"172","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"173","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"174","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"175","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"176","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"177","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"178","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"179","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"180","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"181","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"182","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"183","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"184","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"185","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"186","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"187","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"188","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"189","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"190","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"191","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"192","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"193","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"194","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"195","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"196","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"197","That was chaos and I loved every second of it.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"198","What a night, absolute scenes and pure football joy.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"199","I am so done with this team right now, painful to watch.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
"200","We are massive, what a performance, unbelievable vibes.","fan_commentary","fan_commentary","primary purpose is reaction or emotion"
